# E0_std_1 E0_std_2 gamma_1 gamma_2 Ru E0_mean alpha Cdl k0 E0_mean_offset
9.073856424176625357e-02 6.295955739398798046e-02 3.147064560793521220e-10 3.288783043883083154e-10 3.975175050528243901e+02 -4.293449634074553156e-01 4.000000000000000222e-01 2.103879335320323605e-04 1.472711837117622622e+02 6.716160106742265212e-02
9.526384328974298044e-02 9.518903993761247684e-02 3.482320273049809324e-10 3.911982766696669840e-10 3.130446329150040583e+02 -4.264644201154393910e-01 4.444054689653749168e-01 2.141994673410736771e-04 1.185267977447614101e+02 4.050228806708155299e-02
9.349240640071135311e-02 8.623644527383128588e-02 3.442558805305317846e-10 4.552801667167215591e-10 3.389127831794337453e+02 -4.255821780933528586e-01 4.000000000000000222e-01 2.092804032406197438e-04 1.627119053538426101e+02 9.478943105738432684e-02
9.280217014628071304e-02 4.856783642553810093e-02 3.225761744672922811e-10 3.283377809928807205e-10 3.530997262292591472e+02 -4.265578199943551030e-01 4.000000000000000222e-01 2.082812126072095004e-04 1.623610171950611232e+02 1.131792578091143919e-01
9.611912076131627625e-02 9.336429792698516805e-02 3.396909360283260919e-10 4.235453697447644295e-10 3.395226859160133586e+02 -4.262871985858925905e-01 4.000000000000000222e-01 2.090573484188167075e-04 2.637740924208409297e+02 7.492056806988273143e-02
9.701493304571741361e-02 9.481136776642758168e-02 2.881177147229918325e-10 4.123087885986875238e-10 2.418351171885288693e+02 -4.266685569338699580e-01 4.000000000000000222e-01 2.164736053019463281e-04 1.406382168509460939e+02 6.470706199763989752e-02
9.632351334186720071e-02 9.026099647636355583e-02 2.848808302443963317e-10 3.444211453306493392e-10 4.314537858954339526e+02 -4.318171178624773954e-01 4.310062044034457807e-01 2.118896482666771726e-04 1.921659428119453707e+02 6.441799696838698686e-02
1.001481675994749798e-01 9.366078949447055602e-02 3.011257136052414095e-10 4.634737122610386339e-10 4.309211253203055776e+02 -4.392935077095863061e-01 4.391695794693394328e-01 2.080272304187761061e-04 2.029276221923690855e+02 5.946511991932247609e-02
1.006422233813294292e-01 9.520186945494575614e-02 3.078732128480965061e-10 4.728986538990019210e-10 4.341292932137445746e+02 -4.390734548775747648e-01 4.490826113869383351e-01 2.095052673353823137e-04 2.753989593575572030e+02 7.269509673408014461e-02
9.672608265856784404e-02 9.285513055392242976e-02 3.091423911887570537e-10 4.063617803019336411e-10 2.483174580107503289e+02 -4.267606168097263786e-01 4.000000000000000222e-01 2.530476991807581086e-04 1.536966798194524131e+02 4.963496032702079119e-02
9.588758037385729238e-02 1.019863122970271208e-01 3.332962954058366922e-10 8.176359195550806452e-10 3.169564919100420184e+02 -4.245328852394352204e-01 4.000000000000000222e-01 2.188468772113849093e-04 4.333309271206566677e+02 1.602815974790681441e-01
8.205806384302823109e-02 7.097587148677599045e-02 3.016587522062338323e-10 4.088202180287038909e-10 3.383429831302638604e+02 -4.279602938353865293e-01 4.854952113147762427e-01 2.064084168278062863e-04 9.806190656482529278e+01 7.293316664351467971e-02
8.794925236245074163e-02 7.347658136435908371e-02 3.386302823217467813e-10 3.526357814001372451e-10 3.554871703999265264e+02 -4.292866925716374848e-01 4.943763435327559463e-01 2.149116872300075231e-04 1.261232812522941913e+02 6.796908938996948368e-02
8.487489563736587417e-02 5.321022209529997077e-02 3.117903682086986210e-10 3.580444956750503644e-10 3.395230477616522649e+02 -4.258045478750017154e-01 4.000000000000000222e-01 2.032806554694081261e-04 1.148933744464815874e+02 7.191876986351762591e-02
7.519347404304432825e-02 7.752087879423019690e-02 3.158403713752907640e-10 4.698074186127887877e-10 3.524109216669538114e+02 -4.284745444724086250e-01 5.352301099077854118e-01 2.181082905329190182e-04 9.912231745364748292e+01 5.957001508904775228e-02
7.639774942615171205e-02 7.589938570900087167e-02 3.364693982026812776e-10 4.743111206833044504e-10 3.743265139719051149e+02 -4.310396163971743633e-01 5.552651155886059176e-01 2.162594246819548357e-04 1.129975698980856436e+02 6.027444645081467961e-02
8.164045992254315154e-02 8.651580379679871258e-02 2.831310690011756811e-10 4.084234161297086710e-10 3.706049104874554132e+02 -4.311915753345382241e-01 5.746495806061941991e-01 2.085451383641735289e-04 1.094390871608591027e+02 5.222759909208201518e-02
